organism,Categories
cpla,Animals
cpoc,Animals
cpoo,Animals
cput,Fungi
cpv,Protists
cpw,Fungi
cqi,Plants
cqu,Animals
crb,Plants
cre,Plants
crg,Animals
csab,Animals
csat,Plants
cscu,Animals
csec,Animals
csem,Animals
cset,Animals
csin,Plants
csl,Plants
csol,Animals
csti,Animals
csv,Plants
csyr,Animals
cten,Fungi
cthr,Fungi
ctig,Animals
ctp,Fungi
ctul,Animals
cuca,Animals
cud,Animals
cvf,Animals
cvg,Animals
cvr,Plants
dam,Animals
dan,Animals
daz,Animals
dci,Animals
dcr,Plants
dct,Plants
ddi,Protists
der,Animals
dfa,Protists
dfr,Animals
dgr,Animals
dgt,Animals
dha,Fungi
dhe,Animals
dle,Animals
dme,Animals
dmk,Animals
dmn,Animals
dmo,Animals
dne,Animals
dnm,Animals
dnv,Animals
dnx,Animals
dord,Animals
dosa,Plants
dpa,Animals
dpe,Animals
dpl,Animals
dpo,Animals
dpol,Animals
dpp,Protists
dpte,Animals
dpub,Animals
dpx,Animals
dpz,Animals
dqu,Animals
dre,Animals
dro,Animals
dse,Animals
dsi,Animals
dsm,Animals
dsp,Animals
dsq,Fungi
dsr,Animals
dsv,Animals
dvi,Animals
dwi,Animals
dya,Animals
dzi,Plants
eaf,Animals
eai,Animals
ecad,Plants
ecb,Animals
ecra,Animals
ecu,Fungi
edi,Protists
eee,Animals
efo,Animals
egl,Animals
egr,Plants
egt,Plants
egu,Plants
egz,Animals
ehe,Fungi
ehi,Protists
ehs,Animals
ehx,Protists
ein,Fungi
eiv,Protists
eju,Animals
ela,Fungi
elk,Animals
els,Animals
ely,Animals
epa,Animals
epz,Animals
erc,Fungi
ero,Fungi
esn,Animals
esp,Animals
etf,Animals
etl,Animals
eus,Plants
fab,Animals
fas,Animals
fca,Animals
fcd,Animals
fch,Animals
fcy,Protists
fex,Animals
ffu,Fungi
fga,Animals
fgr,Fungi
fme,Fungi
foc,Animals
fox,Fungi
fpg,Animals
fpu,Fungi
fve,Plants
fvr,Fungi
gab,Plants
gae,Animals
gaf,Animals
gas,Animals
gat,Animals
gcl,Animals
gfr,Animals
gga,Animals
ggn,Animals
ggo,Animals
ghi,Plants
gja,Animals
gla,Protists
glz,Fungi
gmu,Animals
gmx,Plants
gra,Plants
gsj,Plants
gsl,Plants
gste,Animals
gtr,Fungi
gtt,Protists
gvr,Animals
hai,Animals
hald,Animals
hame,Animals
han,Plants
haw,Animals
hazt,Animals
hbr,Plants
hcg,Animals
hcq,Animals
hgl,Animals
hhal,Animals
hhip,Animals
hhv,Animals
hir,Fungi
his,Animals
hle,Animals
hmg,Animals
hmh,Animals
hrf,Animals
hrj,Animals
hro,Animals
hsa,Animals
hsp,Animals
hst,Animals
hze,Animals
ini,Plants
ipu,Animals
isc,Animals
itr,Plants
jcu,Plants
jre,Plants
kaf,Fungi
kla,Fungi
kmr,Animals
kmx,Fungi
kng,Fungi
lak,Animals
lang,Plants
lav,Animals
lbc,Fungi
lbd,Animals
lbz,Protists
lcat,Animals
lcf,Animals
lcm,Animals
lco,Animals
lcq,Animals
ldc,Animals
ldi,Animals
ldo,Protists
lel,Fungi
lgi,Animals
lht,Animals
lhu,Animals
lif,Protists
lja,Plants
llv,Animals
lma,Protists
lmi,Protists
loa,Animals
loc,Animals
lpan,Protists
lper,Plants
lpol,Animals
lruf,Animals
lsm,Animals
lsq,Animals
lsr,Animals
lsv,Plants
lth,Fungi
lve,Animals
lww,Animals
maj,Fungi
malb,Animals
mamb,Animals
masi,Animals
maua,Animals
maw,Fungi
mbe,Fungi
mbr,Protists
mcaf,Animals
mcal,Animals
mcc,Animals
mcep,Animals
mcf,Animals
mcha,Plants
mcoc,Animals
mde,Animals
mdl,Animals
mdm,Plants
mdo,Animals
mesc,Plants
mfot,Animals
mgen,Animals
mgl,Fungi
mgp,Animals
mgr,Fungi
minc,Plants
ming,Plants
mis,Plants
mjv,Animals
mleu,Animals
mlf,Animals
mlr,Fungi
mlx,Animals
mmer,Animals
mmf,Animals
mmu,Animals
mmur,Animals
mmyo,Animals
mna,Animals
mnb,Animals
mng,Plants
mni,Animals
mnt,Plants
more,Fungi
morg,Animals
mpah,Animals
mpha,Animals
mpp,Plants
mpr,Fungi
mpuf,Animals
mrr,Fungi
mrt,Fungi
mrv,Animals
msam,Animals
msex,Animals
msym,Fungi
mthb,Animals
mtm,Fungi
mtr,Plants
mui,Animals
mun,Animals
mus,Plants
myb,Animals
myd,Animals
myi,Animals
mze,Animals
nai,Animals
nasi,Animals
nau,Plants
ncar,Animals
ncc,Animals
nce,Fungi
ncol,Plants
ncr,Fungi
ncs,Fungi
ndi,Fungi
nfi,Fungi
nfu,Animals
ngd,Protists
ngi,Animals
ngr,Protists
nhe,Fungi
niq,Animals
nle,Animals
nlu,Animals
nmea,Animals
nmel,Animals
nni,Animals
nnt,Animals
nnu,Plants
npa,Fungi
npd,Animals
npr,Animals
npt,Animals
nsu,Animals
nsy,Plants
nta,Plants
nte,Fungi
nto,Plants
nve,Animals
nvi,Animals
nvl,Animals
nvs,Animals
nwh,Animals
oaa,Animals
oas,Animals
oau,Animals
obb,Animals
obi,Animals
obo,Animals
obr,Plants
ocu,Animals
oda,Animals
oeu,Plants
ofu,Animals
oga,Animals
ogl,Plants
ogo,Animals
oha,Animals
ola,Animals
olu,Plants
oml,Animals
omy,Animals
one,Animals
onl,Animals
oor,Animals
opa,Fungi
opi,Animals
oro,Animals
osa,Plants
osn,Animals
ota,Plants
otc,Animals
otu,Animals
otw,Animals
ovi,Animals
padl,Animals
pale,Animals
palz,Plants
pan,Fungi
panu,Animals
pavi,Plants
pbar,Animals
pbe,Protists
pbg,Animals
pbi,Animals
pbl,Fungi
pbn,Fungi
pbx,Animals
pcad,Animals
pcan,Animals
pcao,Animals
pcb,Protists
pcf,Animals
pchn,Animals
pcla,Animals
pco,Fungi
pcoc,Animals
pcoo,Animals
pcoq,Animals
pcri,Animals
pcs,Fungi
pcub,Fungi
pcw,Animals
pcy,Protists
pda,Plants
pdam,Animals
pdic,Animals
pdp,Fungi
pdul,Plants
peq,Plants
peu,Plants
pfa,Protists
pfd,Protists
pfh,Protists
pfj,Fungi
pflv,Animals
pfor,Animals
pfp,Fungi
pfuc,Animals
pfy,Fungi
pgab,Protists
pgc,Animals
pgig,Animals
pgr,Fungi
pgu,Fungi
pgut,Animals
pguu,Animals
phai,Plants
phas,Animals
phi,Animals
phu,Animals
phyp,Animals
pic,Fungi
pif,Protists
pja,Animals
pki,Animals
pkl,Animals
pkn,Protists
pkz,Fungi
plai,Animals
plep,Animals
plet,Animals
pleu,Animals
plj,Fungi
plop,Animals
pmac,Animals
pmaj,Animals
pmax,Animals
pmei,Animals
pmoa,Animals
pmoo,Animals
pmua,Animals
pmum,Plants
pmur,Animals
pnap,Animals
pno,Fungi
pon,Animals
pop,Plants
pov,Animals
ppa,Fungi
ppad,Animals
ppei,Fungi
pper,Plants
ppl,Fungi
ppoi,Animals
ppot,Animals
ppp,Plants
pprm,Animals
pps,Animals
ppug,Animals
ppyr,Animals
prap,Animals
prei,Protists
pret,Animals
prob,Animals
pruf,Animals
psat,Plants
psco,Fungi
psex,Animals
psiu,Animals
psoj,Protists
psom,Plants
pspa,Animals
psq,Fungi
pss,Animals
pte,Fungi
pteh,Animals
ptep,Animals
ptg,Animals
pti,Protists
ptkz,Fungi
ptm,Protists
ptr,Animals
ptru,Animals
puc,Animals
pvir,Plants
pvm,Animals
pvp,Animals
pvt,Animals
pvu,Plants
pvv,Protists
pvx,Protists
pvy,Plants
pxb,Plants
pxu,Animals
pxy,Animals
pyo,Protists
pyu,Animals
qlo,Plants
qsu,Plants
ray,Animals
rbb,Animals
rcn,Plants
rcu,Plants
rfq,Animals
rmd,Animals
rmp,Animals
rno,Animals
rro,Animals
rsan,Animals
rsz,Plants
rtem,Animals
rtp,Animals
rze,Animals
salp,Animals
sanh,Animals
sapo,Fungi
sara,Animals
sasa,Animals
sbi,Plants
sbq,Animals
scac,Animals
scam,Animals
scan,Animals
sce,Fungi
schu,Animals
sclv,Animals
scm,Fungi
sdm,Animals
sdu,Animals
seub,Fungi
sfm,Animals
sgh,Animals
sgre,Animals
shab,Animals
shon,Animals
shr,Animals
shs,Fungi
shx,Animals
sind,Plants
sita,Plants
sko,Animals
sla,Fungi
slal,Animals
slb,Fungi
sliu,Animals
sluc,Animals
slud,Fungi
sly,Plants
smeo,Animals
smin,Protists
smm,Animals
smo,Plants
smp,Fungi
snh,Animals
soc,Animals
soe,Plants
sot,Plants
soy,Animals
spaa,Fungi
spao,Fungi
spar,Protists
spen,Plants
spis,Animals
spo,Fungi
spu,Animals
sre,Protists
srx,Animals
ssc,Animals
ssck,Fungi
sscv,Animals
ssen,Animals
ssl,Fungi
sspl,Plants
sstn,Plants
stow,Animals
stru,Animals
sund,Animals
svg,Animals
svs,Plants
tad,Animals
taes,Plants
tala,Animals
tan,Protists
tasa,Fungi
tbg,Protists
tbl,Fungi
tbr,Protists
tca,Animals
tcc,Plants
tcr,Protists
tdc,Plants
tdl,Fungi
teo,Animals
tet,Protists
tfd,Animals
tfn,Animals
tgb,Fungi
tge,Animals
tgo,Protists
tgt,Animals
tgu,Animals
thj,Plants
tmf,Fungi
tml,Fungi
tmn,Fungi
tms,Fungi
tmu,Animals
tng,Animals
tnl,Animals
tod,Animals
tot,Protists
tpai,Animals
tpal,Animals
tpf,Fungi
tpra,Plants
tpre,Animals
tps,Protists
tpv,Protists
tre,Fungi
trg,Fungi
trr,Fungi
tru,Animals
tsp,Animals
tsr,Animals
tss,Plants
tst,Animals
ttt,Fungi
tua,Plants
tup,Animals
tut,Animals
tva,Protists
tve,Fungi
tvs,Fungi
twl,Plants
uah,Animals
uar,Animals
uma,Fungi
umr,Animals
ure,Fungi
val,Fungi
var,Plants
vcn,Plants
vda,Fungi
vde,Animals
vem,Animals
vja,Animals
vko,Animals
vlg,Animals
vpc,Animals
vpo,Fungi
vps,Animals
vra,Plants
vri,Plants
vun,Plants
vvi,Plants
vvp,Animals
wic,Fungi
wse,Fungi
xco,Animals
xen,Animals
xgl,Animals
xhe,Animals
xla,Animals
xma,Animals
xtr,Animals
yli,Fungi
zab,Animals
zca,Animals
zce,Animals
zju,Plants
zma,Plants
zmk,Fungi
zne,Animals
zof,Plants
zro,Fungi
ztr,Fungi
zvi,Animals
